 	X	Y
1	-359.517	949.2631
2	-359.08228	947.06354
3	-358.5649	944.3823
4	-358.1434	942.126
5	-357.66052	939.46075
6	-357.16495	936.64264
7	-356.69788	933.8487
8	-356.21426	930.82886
9	-355.6889	927.4084
10	-355.18546	923.9952
11	-354.77747	921.1359
12	-354.26807	917.4542
13	-353.75735	913.64307
14	-353.24	909.666
15	-352.82645	906.4068
16	-352.30554	902.2048
17	-351.8909	898.7879
18	-351.39325	894.6065
19	-350.84125	889.8689
20	-350.40005	886.01373
21	-349.95505	882.06256
22	-349.39243	875.9349
23	-348.98364	870.42316
24	-348.50845	863.75507
25	-348.03064	857.0086
26	-347.55127	850.0873
27	-347.0074	841.79193
28	-346.5138	833.85205
29	-346.01422	825.44904
30	-345.6402	818.93146
31	-345.13565	809.85815
32	-344.6149	800.0641
33	-344.21133	792.05664
34	-343.71747	781.7788
35	-343.16803	770.0774
36	-342.76224	761.3803
37	-342.2253	749.8651
38	-341.73715	739.39185
39	-341.2615	729.19714
40	-340.8338	720.0339
41	-340.3415	709.3859
42	-339.82208	698.003
43	-339.38516	688.4993
44	-338.80402	676.0816
45	-338.37375	666.9941
46	-337.94568	658.0376
47	-337.372	646.30664
48	-336.9392	637.7127
49	-336.51224	629.4316
50	-335.95038	618.8066
51	-335.53632	611.2036
52	-334.98914	601.48724
53	-334.5845	594.5196
54	-334.05414	585.6328
55	-333.52768	577.0856
56	-333.13644	570.9131
57	-332.63025	563.1742
58	-332.14072	555.98553
59	-331.67798	549.4452
60	-331.24155	543.47516
61	-330.7195	536.5789
62	-330.21783	530.1978
63	-329.7357	524.29333
64	-329.26895	518.80524
65	-328.81238	513.6471
66	-328.2803	507.8684
67	-327.8488	503.3557
68	-327.3436	498.26498
69	-326.85254	493.51013
70	-326.36795	488.9996
71	-325.88785	484.7007
72	-325.41534	480.6263
73	-324.94995	476.75522
74	-324.4908	473.07132
75	-324.03992	469.57953
76	-323.52283	465.71625
77	-323.0133	462.04398
78	-322.58136	459.0295
79	-322.08	455.63852
80	-321.58548	452.4018
81	-321.0991	449.3067
82	-320.6186	446.3395
83	-320.14313	443.50256
84	-319.67194	440.79077
85	-319.204	438.19147
86	-318.74023	435.7039
87	-318.21613	432.99112
88	-317.765	430.7352
89	-317.25635	428.27545
90	-316.81436	426.20837
91	-316.3126	423.93906
92	-315.8144	421.76648
93	-315.38174	419.94562
94	-314.89325	417.96545
95	-314.41016	416.0895
96	-313.92886	414.30435
97	-313.44702	412.60156
98	-312.9667	410.9874
99	-312.50708	409.51736
100	-312.0248	408.04938
101	-311.51938	406.58847
102	-311.05347	405.30612
103	-310.57812	404.05127
104	-310.09146	402.8106
105	-309.5871	401.56427
106	-309.1454	400.50272
107	-308.63843	399.31525
108	-308.17715	398.26138
109	-307.70624	397.2113
110	-307.18695	396.0838
111	-306.73602	395.13272
112	-306.25577	394.15073
113	-305.74414	393.1392
114	-305.29132	392.27008
115	-304.82608	391.3997
116	-304.2967	390.4361
117	-303.82486	389.6015
118	-303.35297	388.79065
119	-302.8829	388.00977
120	-302.41275	387.2596
121	-301.9393	386.53818
122	-301.4623	385.84814
123	-300.92798	385.12128
124	-300.45233	384.51285
125	-299.97333	383.9299
126	-299.54382	383.4265
127	-299.05054	382.8664
128	-298.55698	382.32404
129	-298.05652	381.79034
130	-297.61478	381.3281
131	-297.10025	380.79404
132	-296.64035	380.31717
133	-296.17987	379.83932
134	-295.65048	379.29
135	-295.17712	378.79718
136	-294.68793	378.28308
137	-294.25223	377.82117
138	-293.7211	377.258
139	-293.24466	376.75903
140	-292.7468	376.24716
141	-292.31216	375.80505
142	-291.8556	375.3383
143	-291.37418	374.8387
144	-290.86676	374.30875
145	-290.3335	373.76437
146	-289.88837	373.331
147	-289.4265	372.9007
148	-288.94754	372.4626
149	-288.45074	372.00162
150	-287.93515	371.51154
151	-287.5356	371.13074
152	-286.98602	370.62308
153	-286.56213	370.2529
154	-285.9832	369.7739
155	-285.53937	369.4147
156	-285.08746	369.0445
157	-284.62732	368.65903
158	-284.15906	368.2615
159	-283.68304	367.85962
160	-283.1998	367.4605
161	-282.70993	367.0673
162	-282.21408	366.67923
163	-281.71304	366.29324
164	-281.20737	365.90518
165	-280.69717	365.51227
166	-280.1823	365.11395
167	-279.8364	364.84595
168	-279.3137	364.44247
169	-278.78714	364.0407
170	-278.25745	363.64365
171	-277.90286	363.3816
172	-277.36884	362.99023
173	-276.8322	362.59726
174	-276.47296	362.33273
175	-275.93167	361.93185
