 	X	Y
1	-359.5754	709.5335
2	-359.0473	708.1931
3	-358.5628	706.9157
4	-358.1366	705.7183
5	-357.63422	704.21765
6	-357.12228	702.63196
7	-356.69754	701.2756
8	-356.1598	699.4373
9	-355.65555	697.59076
10	-355.2463	696.0075
11	-354.7293	693.90216
12	-354.2165	691.7017
13	-353.80487	689.8562
14	-353.28717	687.43805
15	-352.77057	684.9217
16	-352.35596	682.8306
17	-351.81476	680.0094
18	-351.38336	677.6893
19	-350.84204	674.69336
20	-350.40933	672.23413
21	-349.97412	669.7017
22	-349.42712	666.1115
23	-349.0018	662.8097
24	-348.42667	658.0553
25	-347.96362	654.18225
26	-347.56827	650.81177
27	-347.09457	646.627
28	-346.61462	642.2298
29	-346.13037	637.6421
30	-345.64572	632.91003
31	-345.15686	628.0051
32	-344.64902	622.74506
33	-344.1836	617.7185
34	-343.6935	612.2185
35	-343.1658	606.1817
36	-342.73624	601.23627
37	-342.27567	595.9125
38	-341.79028	590.2905
39	-341.28842	584.4742
40	-340.7726	578.49176
41	-340.33008	573.31274
42	-339.8048	567.1016
43	-339.36868	561.96124
44	-338.78766	555.1828
45	-338.35645	550.1829
46	-337.9282	545.2421
47	-337.35187	538.69055
48	-336.922	533.9017
49	-336.4974	529.2519
50	-335.93686	523.23065
51	-335.5178	518.8304
52	-334.96652	513.1919
53	-334.56726	509.20734
54	-334.04276	504.08908
55	-333.52554	499.17255
56	-333.14352	495.62674
57	-332.6413	491.084
58	-332.14877	486.77402
59	-331.6772	482.77884
60	-331.23508	479.13998
61	-330.70557	474.91415
62	-330.20206	471.0274
63	-329.71884	467.41797
64	-329.2484	464.02118
65	-328.78995	460.8194
66	-328.34396	457.80032
67	-327.82272	454.38818
68	-327.40222	451.72705
69	-326.91025	448.7177
70	-326.42252	445.8435
71	-325.9392	443.09747
72	-325.46213	440.47815
73	-324.99042	437.96732
74	-324.44785	435.1649
75	-323.9913	432.87057
76	-323.54105	430.6608
77	-323.02148	428.17197
78	-322.57846	426.09998
79	-322.064	423.74957
80	-321.629	421.80734
81	-321.12833	419.62067
82	-320.6333	417.50952
83	-320.1441	415.47504
84	-319.65808	413.50974
85	-319.1748	411.61496
86	-318.6945	409.79248
87	-318.21973	408.05115
88	-317.75574	406.40564
89	-317.29898	404.83878
90	-316.78333	403.13116
91	-316.3367	401.70383
92	-315.83075	400.1438
93	-315.39276	398.84125
94	-314.89838	397.42612
95	-314.40967	396.09094
96	-313.9255	394.83704
97	-313.44327	393.6592
98	-312.96448	392.56018
99	-312.49045	391.5374
100	-312.021	390.58356
101	-311.5101	389.60913
102	-311.05975	388.8014
103	-310.58435	387.9905
104	-310.08905	387.17703
105	-309.58203	386.36838
106	-309.12317	385.6545
107	-308.6253	384.89777
108	-308.17755	384.22525
109	-307.67026	383.47394
110	-307.21054	382.80197
111	-306.74042	382.1254
112	-306.26553	381.4563
113	-305.76373	380.76636
114	-305.26767	380.0992
115	-304.7761	379.45056
116	-304.3268	378.8692
117	-303.81912	378.22705
118	-303.36688	377.67004
119	-302.85596	377.06177
120	-302.40195	376.54407
121	-301.94412	376.04694
122	-301.42178	375.5152
123	-300.96332	375.08392
124	-300.5048	374.68475
125	-299.9806	374.2596
126	-299.50372	373.893
127	-299.02188	373.53754
128	-298.54318	373.19888
129	-298.0587	372.86853
130	-297.56186	372.53662
131	-297.12164	372.24393
132	-296.61047	371.9027
133	-296.1584	371.59814
134	-295.64105	371.24332
135	-295.18024	370.91626
136	-294.70566	370.56473
137	-294.2142	370.18857
138	-293.77756	369.85187
139	-293.24738	369.44843
140	-292.77182	369.09137
141	-292.271	368.71063
142	-291.82935	368.36252
143	-291.36298	367.98273
144	-290.87213	367.58264
145	-290.358	367.18393
146	-289.92984	366.87497
147	-289.3717	366.48904
148	-288.90506	366.15796
149	-288.41925	365.7925
150	-287.91348	365.39948
151	-287.5209	365.10184
152	-286.9807	364.7239
153	-286.56424	364.4596
154	-285.99564	364.1155
155	-285.55954	363.84363
156	-285.11472	363.54868
157	-284.50735	363.12338
158	-284.04138	362.7946
159	-283.56732	362.47025
160	-283.08615	362.1549
161	-282.59863	361.8453
162	-282.10535	361.53473
163	-281.60684	361.21704
164	-281.27173	360.99936
165	-280.76486	360.66364
166	-280.25266	360.31915
167	-279.73508	359.97055
168	-279.21292	359.62363
169	-278.86285	359.3956
170	-278.33542	359.05917
171	-277.80548	358.72604
172	-277.27258	358.3898
173	-276.9155	358.16144
174	-276.37698	357.8119
175	-275.83514	357.45706
176	-275.47223	357.22043
177	-274.92572	356.86853
178	-274.56027	356.63632
179	-274.01083	356.28952
180	-273.46014	355.9404
181	-273.09216	355.7045
182	-272.53833	355.34503
183	-271.9819	354.9805
184	-271.6096	354.73642
185	-271.0496	354.37137
186	-270.6755	354.1298
187	-270.1137	353.77045
188	-269.7388	353.53235
189	-269.1758	353.17578
190	-268.79996	352.93765
191	-268.23514	352.57938
192	-267.6686	352.22095
193	-267.29	351.98346
194	-266.72104	351.63217
195	-266.3414	351.40244
196	-265.77185	351.06506
197	-265.39212	350.84448
198	-264.82227	350.5184
199	-264.442	350.30316
200	-263.8708	349.9827
201	-263.4895	349.77103
202	-262.91684	349.4581
203	-262.5346	349.25366
204	-261.96088	348.95486
205	-261.57846	348.7611
206	-261.00516	348.47763
207	-260.6231	348.29245
208	-260.0499	348.01892
209	-259.66754	347.83902
210	-259.09354	347.57336
211	-258.71063	347.3999
212	-258.13663	347.14713
213	-257.75418	346.98425
214	-257.18073	346.74893
215	-256.6081	346.52402
216	-256.22675	346.3792
217	-255.655	346.16882
218	-255.27383	346.0331
219	-254.70233	345.8374
220	-254.32184	345.7132
221	-253.75168	345.53775
222	-253.37183	345.4284
223	-252.80222	345.27567
224	-252.42282	345.18085
225	-251.85443	345.04797
226	-251.47577	344.965
227	-250.9079	344.8485
228	-250.52954	344.7764
229	-249.96277	344.67743
230	-249.58536	344.61798
231	-249.01962	344.53903
232	-248.45422	344.4718
233	-248.0777	344.43286
234	-247.51364	344.38193
235	-247.13785	344.35233
236	-246.57434	344.3139
237	-246.1989	344.29242
238	-245.63657	344.26706
239	-245.26202	344.25516
240	-244.70062	344.24524
241	-244.1394	344.24457
242	-243.76538	344.24875
243	-243.2048	344.26093
244	-242.8313	344.27243
245	-242.27112	344.29434
246	-241.89795	344.31213
247	-241.3387	344.3441
248	-240.77994	344.38312
249	-240.4076	344.4133
250	-239.8491	344.46463
251	-239.47665	344.5025
252	-238.91797	344.56372
253	-238.3594	344.62918
254	-237.987	344.67484
255	-237.42856	344.7464
256	-237.05646	344.79654
257	-236.49844	344.87595
258	-236.12643	344.93182
259	-235.56824	345.0199
260	-235.00967	345.11243
261	-234.6371	345.176
262	-234.07812	345.27316
263	-233.70532	345.33884
264	-233.146	345.43863
265	-232.77316	345.50623
266	-232.21393	345.60965
267	-231.65445	345.71597
268	-231.28122	345.78845
269	-230.72095	345.89908
270	-230.3471	345.97366
271	-229.786	346.08594
272	-229.4117	346.16083
273	-228.85007	346.2732
274	-228.28836	346.386
275	-227.9138	346.4617
276	-227.35162	346.5766
277	-226.97653	346.6542
278	-226.41333	346.77197
279	-226.03745	346.85107
280	-225.47308	346.9699
281	-224.90817	347.0884
282	-224.53137	347.16714
283	-223.9659	347.28513
284	-223.5887	347.36395
285	-223.0225	347.48312
286	-222.6446	347.5633
287	-222.07706	347.6845
288	-221.69818	347.76575
289	-221.12924	347.88763
290	-220.74954	347.9687
291	-220.17935	348.0896
292	-219.79892	348.16968
293	-219.22784	348.2895
294	-218.84677	348.36948
295	-218.27448	348.48996
296	-217.70126	348.61093
297	-217.31857	348.69162
298	-216.74396	348.81213
299	-216.36044	348.89185
300	-215.78445	349.01022
301	-215.40018	349.08835
302	-214.82333	349.20468
303	-214.43842	349.28192
304	-213.86044	349.39777
305	-213.4746	349.47507
306	-212.8951	349.59094
307	-212.5083	349.66785
308	-212.12115	349.74432
309	-211.53973	349.85803
310	-211.15176	349.93326
311	-210.56934	350.04556
312	-210.18066	350.12042
313	-209.59702	350.2332
314	-209.20737	350.30887
315	-208.62204	350.42316
316	-208.23135	350.4997
317	-207.6446	350.6147
318	-207.2529	350.69125
319	-206.66486	350.8058
320	-206.2725	350.88202
321	-205.8799	350.95822
322	-205.29034	351.07288
323	-204.8969	351.14972
324	-204.306	351.26562
325	-203.9117	351.3433
326	-203.31964	351.46005
327	-202.9246	351.53784
328	-202.3319	351.65442
329	-201.9366	351.73215
330	-201.54114	351.81006
331	-200.9476	351.9269
332	-200.5516	352.00385
333	-199.95703	352.11816
334	-199.56036	352.1938
335	-198.9648	352.30627
336	-198.56744	352.38046
337	-198.1699	352.45392
338	-197.57324	352.56293
339	-197.17523	352.6352
340	-196.57776	352.74377
341	-196.1791	352.8168
342	-195.78	352.89062
343	-195.18085	353.00293
344	-194.78107	353.07867
345	-194.18085	353.19284
346	-193.7804	353.26892
347	-193.3796	353.34473
348	-192.77795	353.4578
349	-192.3766	353.5328
350	-191.7741	353.64514
351	-191.37213	353.7201
352	-190.9699	353.79507
353	-190.36633	353.9073
354	-189.9637	353.98154
355	-189.3593	354.09137
356	-188.9561	354.16327
357	-188.5528	354.23398
358	-187.9477	354.338
359	-187.5441	354.40628
360	-187.14044	354.47394
361	-186.53455	354.57465
362	-186.1304	354.64136
363	-185.5237	354.7407
364	-185.119	354.8063
365	-184.7141	354.87128
366	-184.1026	354.9683
367	-183.69366	355.03265
368	-183.28467	355.09686
369	-182.67126	355.19366
370	-182.2623	355.2589
371	-181.85345	355.32492
372	-181.24005	355.42526
373	-180.8312	355.49286
374	-180.4223	355.56073
375	-179.80896	355.66263
376	-179.4001	355.73035
377	-178.78674	355.83154
378	-178.3778	355.89868
379	-177.96893	355.966
380	-177.3555	356.0671
381	-176.9466	356.1346
382	-176.53766	356.20212
383	-175.92426	356.3031
384	-175.5153	356.37012
385	-175.1064	356.43686
386	-174.493	356.5366
387	-174.08405	356.6031
388	-173.6751	356.6698
389	-173.06177	356.77057
390	-172.6529	356.83847
391	-172.244	356.90714
392	-171.6308	357.0117
393	-171.222	357.08246
394	-170.8153	357.15372
395	-170.20874	357.26175
396	-169.8047	357.33508
397	-169.19904	357.44763
398	-168.79553	357.52472
399	-168.39233	357.60367
400	-167.78796	357.7257
401	-167.38544	357.80957
402	-166.7821	357.93906
403	-166.38007	358.02774
404	-165.9782	358.1183
405	-165.3757	358.25766
406	-164.9741	358.35294
407	-164.5728	358.45007
408	-163.97125	358.59915
409	-163.57056	358.7008
410	-162.97	358.85706
411	-162.5699	358.96387
412	-162.17	359.07294
413	-161.57043	359.24075
414	-161.1709	359.35526
415	-160.5718	359.53098
416	-160.1725	359.6511
417	-159.5737	359.83624
418	-159.17474	359.96326
419	-158.77594	360.09348
420	-158.178	360.2943
421	-157.7795	360.4318
422	-157.1819	360.64447
423	-156.78357	360.79095
424	-156.38525	360.94095
425	-155.7877	361.17206
426	-155.38934	361.3302
427	-154.7917	361.5737
428	-154.3932	361.74033
429	-153.9946	361.91052
430	-153.3965	362.17407
431	-152.99744	362.35635
432	-152.3984	362.6391
433	-151.9985	362.83325
434	-151.59814	363.03186
435	-150.9966	363.3383
436	-150.5949	363.5484
437	-149.9914	363.87262
438	-149.58844	364.0949
439	-149.18494	364.32224
440	-148.57874	364.67288
441	-148.17395	364.91327
442	-147.5656	365.2843
443	-147.1592	365.53906
444	-146.7521	365.79916
445	-146.13617	366.19806
446	-145.72406	366.46866
447	-145.3119	366.74225
448	-144.69354	367.15826
449	-144.28125	367.4394
450	-143.86896	367.72357
451	-143.25037	368.15558
452	-142.83795	368.44742
453	-142.4675	368.71222
454	-142	369.04996
455	-141.79382	369.19885
456	-141.38147	369.50162
457	-140.96918	369.8075
458	-140.55692	370.11652
459	-139.93864	370.5859
460	-139.52654	370.90277
461	-139.11446	371.22287
462	-138.49638	371.70905
463	-138.08437	372.03723
464	-137.67235	372.36868
465	-137.05432	372.87213
466	-136.64229	373.21194
467	-136.23024	373.55515
468	-135.6121	374.07635
469	-135.19998	374.42813
470	-134.78783	374.7834
471	-134.16956	375.3228
472	-133.75734	375.68683
473	-133.34512	376.0544
474	-132.72678	376.61243
475	-132.31454	376.98892
476	-131.90231	377.36905
477	-131.28398	377.94604
478	-130.87178	378.33527
479	-130.45956	378.7282
480	-129.84125	379.32465
481	-129.42902	379.72696
482	-129.01678	380.1331
483	-128.3984	380.74948
484	-127.98614	381.16525
485	-127.57386	381.5849
486	-126.95546	382.22174
487	-126.54324	382.65118
488	-126.13606	383.0793
489	-125.52671	383.72733
